Id,ScaleModel,ScaleSn,PLU,Product Code,Item Code,Category,PLU Name,GeneralUnit,TaxType,Price,UnitWeight,Pretare,LimitHigh,LimitLow,Weight,Weight Unit,User NO.,User Name,Scale Name,Date Time
1,T-MAX,108008020008,,,,,,,,,,,,,0.188,kg,,,ComScale,2025-03-05 11:15:41
2,T-MAX,108008020008,,,,,,,,,,,,,0.188,kg,,,ComScale,2025-03-05 11:15:46
